106020007,0
107061135,0
107061138,0
108012023,52
108020029,85
108033113,83
108060006,64
108061104,69
108061134,30
108061141,59
108061142,55
108061171,45
108061172,102
108061204,70
108061214,41
108061216,74
108061229,48
108061243,50
108061275,66
109020008,82
109061105,57
109061109,74
109061111,59
109061117,75
109061123,78
109061124,75
109061132,82
109061135,91
109061155,67
109061156,103
109061203,62
109061215,82
109061227,78
109061234,40
111063531,70
x1110045,41
